time,image_names
00:01,"DJI_0047.JPG, DJI_0047.JPG, DJI_0047.JPG, DJI_0047.JPG, DJI_0056.JPG"
00:02,"DJI_0056.JPG, DJI_0095.JPG, DJI_0095.JPG, DJI_0095.JPG, DJI_0095.JPG"
00:03,"DJI_0108.JPG, DJI_0108.JPG, DJI_0108.JPG, DJI_0108.JPG"
00:04,"DJI_0146.JPG, DJI_0145.JPG, DJI_0146.JPG, DJI_0145.JPG, DJI_0146.JPG, DJI_0145.JPG, DJI_0146.JPG, DJI_0161.JPG"
00:05,"DJI_0161.JPG, DJI_0161.JPG, DJI_0161.JPG, DJI_0200.JPG, DJI_0200.JPG, DJI_0200.JPG"
00:06,"DJI_0213.JPG, DJI_0213.JPG, DJI_0213.JPG, DJI_0213.JPG, DJI_0213.JPG"
00:07,"DJI_0265.JPG, DJI_0265.JPG, DJI_0311.JPG"
00:08,"DJI_0433.JPG, DJI_0443.JPG, DJI_0443.JPG, DJI_0443.JPG, DJI_0443.JPG, DJI_0443.JPG"
00:09,"DJI_0557.JPG, DJI_0557.JPG, DJI_0556.JPG, DJI_0556.JPG, DJI_0556.JPG, DJI_0554.JPG, DJI_0553.JPG"
00:10,"DJI_0526.JPG, DJI_0526.JPG, DJI_0526.JPG, DJI_0462.JPG, DJI_0462.JPG, DJI_0462.JPG"
00:11,"DJI_0414.JPG, DJI_0414.JPG, DJI_0414.JPG, DJI_0398.JPG, DJI_0355.JPG, DJI_0355.JPG"
00:12,"DJI_0297.JPG, DJI_0297.JPG, DJI_0297.JPG, DJI_0278.JPG, DJI_0278.JPG, DJI_0278.JPG"
00:13,"DJI_0278.JPG, DJI_0241.JPG, DJI_0241.JPG, DJI_0241.JPG, DJI_0241.JPG"
00:14,"DJI_0225.JPG, DJI_0226.JPG, DJI_0225.JPG, DJI_0226.JPG, DJI_0225.JPG"
00:15,"DJI_0187.JPG, DJI_0186.JPG, DJI_0187.JPG, DJI_0186.JPG, DJI_0186.JPG, DJI_0186.JPG, DJI_0185.JPG, DJI_0185.JPG, DJI_0185.JPG, DJI_0184.JPG"
00:16,"DJI_0183.JPG, DJI_0183.JPG"
00:17,
